Title,Source title,Year,DOI,Cited by,term_loc
A High Standard of Living in Nineteenth-Century Japan: Fact or Fantasy,The Journal of Economic History,1983,10.1017/S0022050700029168,46,abstract
Trends and future prospects of the female overlife by regions in Europe,Statistical Journal of the United Nations Economic Commission for Europe,1990,10.3233/SJU-1990-7102,2,abstract
Older females as a market segment for well-fitting clothing,Journal of Fashion Marketing and Management,1999,10.1108/eb022563,8,abstract
The Netherlands national model: a review of seven years of application,International Transactions in Operational Research,1994,10.1016/0969-6016(94)90014-0,16,abstract
PUMPING ABRASIVE LIQUIDS WITH PROGRESSING CAVITY PUMPS.,"JPT, Journal of Petroleum Technology",1974,,3,abstract
Russia: the demographic situation.,Studies on Russian economic development,1995,,0,abstract
The determination of life premiums: An international cross-section analysis 1970-1981,Insurance Mathematics and Economics,1986,10.1016/0167-6687(86)90020-X,113,abstract
"Network, screen and page: Reading in a Digital Age",European Papermaker,1999,,0,abstract
"Forty years of the life span revolution: an exploration of the roles of 'convergence', income, and policy",Economic Development and Cultural Change,1998,10.1086/452377,14,abstract
The physical quality of life index: A useful social indicator?,World Development,1979,10.1016/0305-750X(79)90094-9,60,abstract
HIGH FREQUENCY OPERATION OF HID LAMPS.,Plant Eng (Barrington Ill),1973,,1,abstract
Can housing wealth alleviate poverty among Britain's older population?,Fiscal Studies,1998,10.1111/j.1475-5890.1998.tb00287.x,21,abstract
Methods for Calculating the Progress of Carbonation and the Associated Life Expentancy of Reinforced Concrete Components.; [BERECHNUNGSVERFAHREN UEBER DEN CARBONATISIERUNGSFORTSCHRITT UND DIE DAMIT VERBUNDENE LEBENSERWARTUNG VON STAHLBETONTEILEN.],Betonwerk und Fertigteil-Technik/Concrete Precasting Plant and Technology,1983,,9,abstract
Structural adjustment in Ghana,Food Policy,1988,10.1016/0306-9192(88)90019-X,1,abstract
An overview of trends in employee benefits programmes,Management Research News,1998,10.1108/01409179810781482,1,abstract
Mortality change and forecasting: How much and how little do we know?,North American Actuarial Journal,1998,10.1080/10920277.1998.10595752,44,abstract
Aging and the income value of housing wealth,Journal of Public Economics,1991,10.1016/0047-2727(91)90020-3,70,abstract
Socioeconomic equity and fertility in developing countries: A block-recursive model,De Economist,1980,10.1007/BF01705858,4,abstract
Longevity benefits and costs of reducing various risks,Technological Forecasting and Social Change,1979,10.1016/0040-1625(79)90088-X,25,INDEX_KW_ONLY
The demographic situation in 1982; [Le bilan demographique de 1982],Economie & statistique,1983,,0,abstract
"“Life expectancy in the future: A summary of a discussion among experts”, Robert B. Friedland, October 1998",North American Actuarial Journal,1998,10.1080/10920277.1998.10595754,0,title
Are Low Income Countries Catching up or Falling Further Behind? Evidence from Income and Demographic Indicators,The Economic and Labour Relations Review,1993,10.1177/103530469300400106,0,abstract
Maintenance of sewers and water mains within the concept of serviceability to customers,Pipes and Pipelines International,2000,,1,abstract
Generation life table for 1987 cohorts and period life table 1986/1988; [Generationensterbetafel geburtsjahrgang 1987 und periodensterbetafel 1986/88],Blätter der DGFVM,1993,10.1007/BF02809409,1,abstract
"Work after retirement: intentions, realities and implications",Journal of Consumer Studies & Home Economics,1987,10.1111/j.1470-6431.1987.tb00134.x,1,abstract
PUBLIC ACTION AND THE QUALITY OF LIFE IN DEVELOPING COUNTRIES,Oxford Bulletin of Economics and Statistics,1981,10.1111/j.1468-0084.1981.mp43004001.x,225,INDEX_KW_ONLY
TOOLING DEVELOPMENTS FOR THE FOUNDRY INDUSTRY.,Foundry Trade Journal,1987,,0,abstract
Economic challenges facing South Africa,Finance & Development,1992,,2,abstract
A markov chain model of working life tables,Scandinavian Actuarial Journal,1977,10.1080/03461238.1977.10405621,34,abstract
"The lee-carter method for forecasting mortality, with various extensions and applications",North American Actuarial Journal,2000,10.1080/10920277.2000.10595882,239,abstract
Well-being and the extent of its realisation in poor countries,Economic Journal,1990,10.2307/2234181,102,abstract
Maintenance of joint sealants and glazing systems,Property Management,1990,10.1108/EUM0000000003369,1,abstract
A turning-point for AIDS?,Economist,2000,,4,abstract
The effect of predatory rent-seeking on household saving and portfolio choices: A cross section analysis,Public Choice,1991,10.1007/BF00156234,6,abstract
Marital Relationships as a Cause of Death: An Analysis of Occupational Mortality and the Hidden Consequences of Marriageâ€”Some U.K. Data,Human Relations,1983,10.1177/001872678303600203,22,abstract
Relative welfare improvements of low income versus high income countries,World Development,1988,10.1016/0305-750X(88)90189-1,2,abstract
The really effective health service delivery system,Health Care Management Review,1976,10.1097/00004010-197600110-00002,0,INDEX_KW_ONLY
"Life expectancy, depreciation, and computation of an improved sinking fund factor—A note",Engineering Economist,1971,10.1080/00137917108902681,0,title
Social inequality in the face of death; [Inegalite sociale devant la mort],"Futuribles (Paris, France : 1981)",1984,,1,abstract
Target marketing for the hospital-based wellness center,Journal of Hospital Marketing,1997,10.1300/J043v11n02_05,1,abstract
Anna's life expectancy,Journal of Policy Analysis and Management,1986,10.1002/pam.4050050215,7,title
Life expectancy in the future: A summary of a discussion among experts,North American Actuarial Journal,1998,10.1080/10920277.1998.10595753,4,title
The determinants of population change in Colombia; [Determinantes del cambio poblacional en Colombia],Desarrollo y sociedad,1980,,0,abstract
Desert bridge supported by carbon fibre,Advanced Composites Bulletin,2000,,0,abstract
"Age distribution, education and societal structure",Socio-Economic Planning Sciences,1973,10.1016/0038-0121(73)90026-8,1,abstract
Effect of vibration on electric-submersible-pump failures,"JPT, Journal of Petroleum Technology",1990,10.2118/16924-pa,24,abstract
Clothing for older women. II. Reading between the lines; [Bekleidung fur Seniorinnen. II. Zwischen den Zeilen argumentieren],Bekleidung Wear,1998,,0,abstract
The construction of life profiles by social class in Chile; [Construccion de perfiles de vida para grupos sociales en Chile.],Estudios de economia,1989,,0,abstract
The demographic situation of Russia at the dawn of the year 2000; [La situation demographique de la Russie au seuil de l'an deux mille.],Le courrier des pays de l'Est / publié avec le concours du Centre de documentation sur l'U.R.S.S. et les pays slaves de l'Ecole pratique des hautes études,1995,,0,abstract
Planning Retirement Income in Australia: Routes through the Maze,Australian Economic Review,1995,10.1111/j.1467-8462.1995.tb00901.x,5,abstract
Models for measuring and documenting the quality of life; [MODELLE ZUR MESSUNG UND ERFASSUNG DER QUALITAT DES LEBENS],BETRIEBSWIRTSCH.FORSCH.PRAX.,1974,,0,INDEX_KW_ONLY
Banner and flag fabrics,Industrial Fabric Products Review,1994,,0,abstract
Regulation and health: The case of mandatory prescriptions and an extension,Managerial and Decision Economics,1987,10.1002/mde.4090080108,22,abstract
Economie freedom and the quality of life: An empirical analysis,Constitutional Political Economy,1999,10.1023/A:1009068829135,78,abstract
The changing economy and the family.,Journal of labor economics,1986,10.1086/298133,3,INDEX_KW_ONLY
Social security and uncertain lifetime; [Rentenversicherung bei unsicherer lebenszeit],Jahrbucher fur Nationalokonomie und Statistik,1998,,0,abstract
Fabric specification table,Fabrics & Architecture,1994,,0,abstract
Sector priorities in meeting basic needs: some statistical evidence,World Development,1982,10.1016/0305-750X(82)90005-5,10,abstract
Trends in mortality of the soviet population,Soviet Economy,1990,10.1080/08826994.1990.10641324,28,abstract
NEW DEVELOPMENTS IN DOWN-HOLE MOTORS FOR IMPROVED DRILLING PERFORMANCE.,"JPT, Journal of Petroleum Technology",1978,10.2118/6778-PA,6,abstract
The long-term pattern of adult mortality and the highest attained age,Journal of the Royal Statistical Society. Series A: Statistics in Society,1999,10.1111/1467-985X.00119,175,INDEX_KW_ONLY
Demographic challenges for socioeconomic planning,Socio-Economic Planning Sciences,1985,10.1016/0038-0121(85)90048-5,4,INDEX_KW_ONLY
SEALING TUBULAR CONNECTIONS.,"JPT, Journal of Petroleum Technology",1985,10.2118/14040-pa,17,abstract
An economic analysis of child restraints,Journal of Consumer Policy,1995,10.1007/BF01024162,0,abstract
Automobile Loss Rates and the Expected Capital Cost of Vehicles: An Empirical Note,Economic Record,1987,10.1111/j.1475-4932.1987.tb00655.x,1,abstract
Are price and quality obsolete?: Financial survival using adaptive marketing,Journal of Customer Service in Marketing and Management,1998,10.1300/J127v04n02_05,0,abstract
Workforce Participation Choices of Older Males,Asia Pacific Journal of Human Resources,1993,10.1177/103841119303000304,2,abstract
"Rehabilitation of the Tis Abbay powerplant, Ethiopia",International Journal on Hydropower and Dams,1999,,0,abstract
How dirt and water slash bearing life.,Machine Design,1978,,9,abstract
The economics of risks to life.,American Economic Review,1981,,132,INDEX_KW_ONLY
Education and health care in the Caribbean.,Finance & development,1997,,3,abstract
Public health and development: a new analytical framework,ECONOMICA,1974,10.2307/2553354,3,abstract
Indian women: Well-being and survival,Cambridge Journal of Economics,1983,10.1093/cje/7.3-4.363,102,INDEX_KW_ONLY
The value of changes in life expectancy,Journal of Risk and Uncertainty,1988,10.1007/BF00056139,216,title
Age structure and income distribution policy,Journal of Population Economics,1988,10.1007/BF00171509,5,abstract
LIFE EXPECTANCY AS AN INTEGRATING CONCEPT IN SOCIAL AND DEMOGRAPHIC ANALYSIS AND PLANNING,Review of Income and Wealth,1977,10.1111/j.1475-4991.1977.tb00013.x,10,title
REDISTRIBUTION OF INCOME—NOTES ON SOME PROBLEMS AND PUZZLES,Review of Income and Wealth,1970,10.1111/j.1475-4991.1970.tb00703.x,1,abstract
"Working health time: A comparison of preindustrial, industrial, and postindustrial experience in life and health",Explorations in Economic History,1991,10.1016/0014-4983(91)90016-C,7,abstract
"Hell no, we won't go!",Fortune,1999,,1,INDEX_KW_ONLY
Health impacts of epidemiological environment change: Measurement issues,Environment and Development Economics,1996,10.1017/S1355770X00000693,6,abstract
The expectation of life formula applied to collection management,Collection Management,1986,10.1300/J105v08n02_02,2,abstract
DALYs in Europe,Statistical Journal of the United Nations Economic Commission for Europe,1999,10.3233/sju-1999-16102,0,abstract
Poverty alleviation in Latin America,Finance & Development,1990,,3,abstract
"Evaluating a neglected dimension of economic development: Mortality, risk aversion and uncertainty",International Review of Economics and Finance,1994,10.1016/1059-0560(94)90029-9,3,abstract
